brand,description,price,product_links
NASHER MILES,,₹919,
SBCOLLECTION,Large 35 L Backpack Backpack/School Bag/College Bag Office Casual Bag Waterproof School Bag,₹292,https://www.flipkart.com/sbcollection-backpack-school-bag-college-bag-office-casual-waterproof-school-35-l-backpack/p/itm33767d48bfdcb?pid=BKPH5VWJQZYQJVGE&lid=LSTBKPH5VWJQZYQJVGE9JRY7K&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&iid=en_Ty0samZyy4Hq-zsxqo6b5uLBnYd4sgzSWlKKNjwDGSjABddKyK8qnZMKNGrwm9aZrNGfPbLrVY7BbONnzscNFg%3D%3D&ssid=vk9ex0q4q80000001758308727422&qH=4a82715423d654d6
Bellveen,Small 10 L Backpack New Sling Bag Anti-Theft USB Crossbody Backpack Waterproof Chest Shoulder Bag,₹320,https://www.flipkart.com/bellveen-new-sling-bag-anti-theft-usb-crossbody-backpack-waterproof-chest-shoulder-10-l/p/itm561de32162215?pid=BKPH5Z4D94NPUKAY&lid=LSTBKPH5Z4D94NPUKAYUPBVH3&marketplace=FLIPKART&q=bag&store=search.flipkart.com&spotlightTagId=default_BestsellerId_reh%2F4d7%2Fak9&srno=s_1_3&otracker=search&otracker1=search&iid=d3391069-7342-4efd-955d-f4d27969ad19.BKPH5Z4D94NPUKAY.SEARCH&ssid=vk9ex0q4q80000001758308727422&qH=4a82715423d654d6
PROVOGUE,,₹219,
Mi,,₹279,
Luzian,Medium 22 L Backpack Casual School Design Tuition College Office Shoulder For Unisex,₹227,https://www.flipkart.com/luzian-casual-school-design-tuition-college-office-shoulder-unisex-22-l-backpack/p/itmeedb7b2edc7be?pid=BKPGZ8Y6FGZAGP7W&lid=LSTBKPGZ8Y6FGZAGP7WF2SAWO&marketplace=FLIPKART&q=bag&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&iid=en_Ty0samZyy4Hq-zsxqo6b5uLBnYd4sgzSWlKKNjwDGSjP_Kfy97ytjnjlkSbt_nY1Eprag46tGKuO4_t7-8MYPg%3D%3D&ssid=vk9ex0q4q80000001758308727422&qH=4a82715423d654d6
SKYBAGS,,₹668,
SKYBAGS,,₹399,
PROVOGUE,,₹219,
ICHIEF,,₹395,
